Site,Grantor,Deed_Date,Liber_Folio,Acreage,Map,use type,Date_Built_Accepted,Building
Owen Brown Woods,"Jiers, Inc.",6/10/87,1817/414,5.004000187,36,Park,N/A,Building
Owen Brown Woods,"Jiers, Inc.",4/27/87,1734/480,0.137700006,36,Park,N/A,Building
Owen Brown Woods,"Jiers, Inc.",4/27/87,1734/480,0.080300003,36,Park,N/A,Building
Owen Brown Woods,"Jiers, Inc.",7/23/85,1370/749,0.354699999,36,Park,N/A,Building
Owens Property,"Patapsco Landing I LLC, Patapsco Landing II LLC, Patapsco Landing III LLC, Patapsco Landing IV LLC, Patapsco Landing V LLC, Patapsco Landing VI LLC, Patapsco Landing VII LLC,",5/4/05,9290/356,9.81499958,31,Park,N/A,Building
Palmer Hill,"Palmer Property, LLC",10/20/06,10952/322,1.029999971,18,Park,N/A,Building
Palmer Hill 2,"Palmer Property, LLC",6/7/07,10952/307,1.789999962,18,Park,N/A,Building
Papillon,"SDC Group, Inc.",6/24/02,6266/322,1.988999963,24,Park,N/A,Building
Papillon,"SDC Group, Inc.",6/24/02,6266/322,7.697000027,24,Park,N/A,Building
Park Estates,Cary Cumberland,2/20/08,11123/325,1.639999986,14,Park,N/A,Building
Park Overlook,Park Overlook LLC,3/27/14,15596/262,1.470000029,50,Park,N/A,Building
Park Service Center/Headquarters Building,N/A,,N/A,0,,Park,N/A,Building
Park Service Center/Headquarters Building,N/A,,N/A,0,,Park,3/12/99,Building
Park Service Center/Headquarters Building,N/A,,N/A,0,,Park,3/12/99,Building
Park Service Center/Headquarters Building,N/A,,N/A,0,,Park,3/12/99,Building
Park Service Center/Headquarters Building,Expressway Associates,10/3/90,2245/044,7.946000099,42,Park,N/A,Building
"Parking Lot ""B""",Edward T. Clark,3/8/82,1092/399,0.419,,Park,N/A,Building
"Parking Lot ""B""",The Baltimore Transit Company,6/10/64,419/432,0.035999998,,Park,N/A,Building
"Parking Lot ""C""",The Baltimore and Ohio Railroad Company,7/14/80,1019/075,0.640999973,,Park,N/A,Building
"Parking Lot ""C""","Edward T. Clark and Sons, Inc.",2/14/80,988/094,0.138999999,,Park,N/A,Building
"Parking Lot ""D""","Donald R. Reuwer, Jr. and Deborah L. Reuwer",12/28/99,5016/084,0.850000024,,Park,N/A,Building
"Parking Lot ""D""",David E. Meyers,8/3/94,3321/573,0.016000001,,Park,N/A,Building
"Parking Lot ""D""",Susan L. Doyle,5/26/94,3321/563,0.028999999,,Park,N/A,Building
"Parking Lot ""D""","Ellicott Theatre, Inc.",6/10/47,198/264,0.75999999,,Park,N/A,Building
"Parking Lot ""D""",James R. and Ruth H. Moxley,6/10/47,198/266,1.957999945,,Park,N/A,Building
"Parking Lot ""E""",Mojan Bagha,5/21/14,15618/130,0.031099999,,Park,N/A,Building
"Parking Lot ""E""","Ellicott City Restoration Foundation, Inc.",5/1/95,3496/006,0.595399976,,Park,6/30/96,Building
"Parking Lot ""F""","Magis Farm, LLC",9/29/14,15820/144,0.236000001,,Park,N/A,Building
"Parking Lot ""F""",Elm Development Corporation,9/27/65,443/379,0.207900003,,Park,N/A,Building
"Parking Lot ""F""",Elm Development Corporation,9/27/65,443/379,0.033,,Park,N/A,Building
"Parking Lot ""F""","John D. Baker, Sr. and Emeline T. Baker",9/27/65,443/383,0.109999999,,Park,N/A,Building
Parkside Estates,"Cornerstone Holdings, L.L.C.",2/24/14,15641/247,0.349000007,50,Park,N/A,Building
Patapsco Female Institute,N/A,12/6/66,463/026,0,,Park,6/30/98,Building
Patapsco Female Institute,Harriet B. Whisman,12/6/66,463/026,9.850000381,25,Park,6/30/98,Building
Patapsco Ridge,Michael L. Pfau,11/9/05,9709/550,0.0187,38,Park,N/A,Building
Patapsco Ridge,Security Development Corporation,12/23/98,4620/023,2.220000029,38,Park,N/A,Building
Patapsco Ridge,Security Development Corporation,12/23/98,4620/023,3.200000048,38,Park,N/A,Building
Patapsco Ridge,Security Development Corporation,12/23/98,4620/023,0.930000007,38,Park,N/A,Building
Patapsco Ridge,Security Development Corporation,12/23/98,4620/023,1.958999991,38,Park,N/A,Building
Patapsco Ridge,Security Development Corporation,12/23/98,4620/023,2.289999962,38,Park,N/A,Building
Patapsco Sewage Pump Station,"Mt. Hebron, Inc.",11/13/80,1030/314,0,17,Park,6/30/84,Building
Patapsco Sewage Pump Station,Patapsco Associates Limited Partnership,11/18/80,1031/731,0.569999993,17,Park,N/A,Building
Patapsco Sewage Pump Station,"Mt. Hebron, Inc.",11/13/80,1030/314,0.194000006,17,Park,N/A,Building
Patuxent Heights,"Ward Development Company, Inc.",2/9/96,3668/224,4.357999802,50,Park,N/A,Building
Patuxent Ridge,"Cornerstone Holdings, L.L.C.",1/19/01,5341/024,2.789999962,50,Park,N/A,Building
Patuxent Ridge,"Cornerstone Holdings, L.L.C.",1/19/01,5341/024,0.25,50,Park,N/A,Building
Patuxent River Basin Stream Valley Protection,"Rosemary D. Whitehead, Personal Representative of the Estate of John Teter",10/19/01,5835/680,0.426099986,50,Park,N/A,Building
Patuxent River Basin Stream Valley Protection,"Lee J. Wells, et al",10/5/91,2416/387,0.967999995,50,Park,N/A,Building
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",9/3/91,2394/226,0.229499996,50,Park,N/A,Building
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.566999972,50,Park,N/A,Building
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.980000019,50,Park,N/A,Building
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.623000026,50,Park,N/A,Building
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.848999977,50,Park,N/A,Building
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.367000014,50,Park,N/A,Building
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.382999986,50,Park,N/A,Building
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.351000011,50,Park,N/A,Building
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.324000001,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.31099999,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.483999997,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.398999989,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.467999995,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.433999985,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.264999986,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.367000014,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.166999996,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.148000002,50,Park,N/A,Land
Patuxent River Basin Stream Valley Protection,"Southern Properties, Inc.",4/24/91,2358/226,0.128000006,50,Park,N/A,Land
